Event_ID,Event_Name,Event_Category,Event_Date,Venue
101,Dance Competition,Cultural,2025-08-15,Main Auditorium
102,Singing Competition,Cultural,2025-08-15,Seminar Hall
103,Battle of Bands,Cultural,2025-08-15,Open Stage
104,Fashion Show,Cultural,2025-08-16,Main Auditorium
105,Drama Competition,Cultural,2025-08-16,Auditorium
106,Photography Contest,Cultural,2025-08-16,Gallery Hall
107,Short Film Contest,Cultural,2025-08-17,Seminar Hall
108,Stand-Up Comedy,Cultural,2025-08-17,Open Stage
109,Celebrity Night,Special Event,2025-08-17,Main Ground
110,DJ Night,Special Event,2025-08-17,Main Ground
